Time,PPG,ECG,resp,afib
0.609,0.5187057633973711,0.2503266953608853,-0.9102848429349742,0
0.661,0.5176946410515673,0.2258106246939558,-0.9087714077145262,0
0.711,0.5187057633973711,0.2162621608421455,-0.906960005331382,0
0.762,0.5176946410515673,0.2792074039078372,-0.9048506357855416,0
0.813,0.5176946410515673,0.2932398119181528,-0.9024432990770046,0
0.863,0.5176946410515673,0.3373555241437919,-0.8997379952057715,0
0.914,0.5187057633973711,0.4007131433386814,-0.8967347241718421,0
0.965,0.5166835187057635,0.4306561539171822,-0.8934334859752163,0
1.016,0.5187057633973711,0.4490728698659531,-0.8898342806158942,0
1.067,0.5176946410515673,0.4566080305429354,-0.8859371080938758,0
1.118,0.5176946410515673,0.5421932634687837,-0.8817419684091611,0
1.169,0.5166835187057635,0.4841725408603205,-0.8772488615617501,0
1.22,0.519716885743175,0.4311641905864362,-0.8724577875516428,0
1.271,0.5187057633973711,0.3057886149387682,-0.8673687463788392,0
1.321,0.5176946410515673,0.2192871095311644,-0.8619817380433393,0
1.372,0.5176946410515673,0.1834497392666381,-0.8562967625451431,0
1.423,0.5187057633973711,0.1279126578695494,-0.8503138198842506,0
1.474,0.5176946410515673,0.0944699714699101,-0.8440329100606618,0
1.526,0.5166835187057635,0.1054801501537969,-0.8374540330743766,0
1.577,0.519716885743175,0.1058957117712484,-0.8305771889253951,0
1.629,0.5247724974721941,0.1174720492304539,-0.8234023776137175,0
1.68,0.5945399393326593,0.1985136853811338,-0.8159295991393433,0
1.731,1.0,0.268679214135779,-0.808158853502273,0
1.783,1.0,0.3220352368846073,-0.8000901407025063,0
1.834,1.0,0.4428480971360263,-0.7917234607400433,0
1.885,1.0,0.5869433634115423,-0.7830588136149028,0
1.935,0.936299292214358,0.7469693554133839,-0.7680844748402982,0
1.986,0.544994944388271,0.8416780947101066,-0.7528884196508141,0
2.036,0.435793731041456,0.9012733138115891,-0.7375953998198562,0
2.087,0.506572295247725,0.7806454857057391,-0.722336053799606,0
2.137,0.5551061678463094,0.5628750334871999,-0.7072377603178408,0
2.188,0.5439838220424672,0.3053884155892439,-0.6924321549189116,0
2.239,0.4903943377148635,0.129795294110457,-0.6780310143947768,0
2.291,0.4064711830131446,0.0808940829826513,-0.6641520022161689,0
2.342,0.1638018200202224,0.0855009273246014,-0.650902005588442,0
2.393,0.0,0.0648102985852996,-0.6383937344795592,0
2.445,0.0,0.0415255362621105,-0.6267516082988696,0
2.496,0.0,0.050737890404545,-0.6157778962020608,0
2.548,0.1274014155712841,0.0887838554538819,-0.6063300349954688,0
2.599,0.6319514661274015,0.1053870041364615,-0.5994504156436877,0
2.65,0.6643073811931244,0.1350608704582206,-0.5949363082302614,0
2.702,0.5419615773508595,0.1876847980509088,-0.5925939041897321,0
2.753,0.480283114256825,0.2514295983661967,-0.5922383163076397,0
2.804,0.4974721941354904,0.3132503601751976,-0.5936935787205224,0
2.855,0.5176946410515673,0.3374893657456308,-0.596813218501747,0
2.906,0.5278058645096056,0.4081108530123412,-0.6014348267427994,0
2.957,0.5106167846309404,0.4854466095271995,-0.6073845192287846,0
3.007,0.5176946410515673,0.5519822634254612,-0.6145223653571341,0
3.058,0.5176946410515673,0.5683286072791075,-0.6227379274621094,0
3.11,0.512639029322548,0.5855571485501955,-0.6319048318960911,0
3.161,0.5187057633973711,0.5848508174150842,-0.6418852297050774,0
3.212,0.5187057633973711,0.4868326238358397,-0.6517690876163129,0
3.262,0.519716885743175,0.3368738579090364,-0.6613613409524042,0
3.313,0.5146612740141557,0.2451014238470549,-0.6703636479171882,0
3.364,0.5207280080889788,0.1942207104872568,-0.6785800740623267,0
3.415,0.5116279069767442,0.1407571257094795,-0.6856419635610307,0
3.465,0.5187057633973711,0.1012284833493135,-0.6909517305779529,0
3.516,0.5156723963599595,0.0982911143215264,-0.6943796324970957,0
3.567,0.5166835187057635,0.1260670229555027,-0.6957974898386776,0
3.619,0.512639029322548,0.1431437164755027,-0.6950826333790607,0
3.671,0.5278058645096056,0.201181198853709,-0.6921375102848788,0
3.721,0.7532861476238625,0.2900265170971492,-0.6868280389165824,0
3.811,1.0,0.340272101412549,-0.679015582007902,0
3.862,1.0,0.416546675110236,-0.6685888200551655,0
3.913,1.0,0.553926812430442,-0.6554167642120501,0
3.964,1.0,0.6166826175499387,-0.6393733239284534,0
4.015,0.5500505561172903,0.6622778063956978,-0.6203306528979777,0
4.066,0.3761375126390293,0.6970562154997924,-0.5993886755082045,0
4.117,0.4266936299292214,0.74662578795677,-0.5766795647740197,0
4.169,0.4812942366026289,0.6917527691446679,-0.5523051105758234,0
4.221,0.4792719919110212,0.5190200669181709,-0.5263971847294442,0
4.272,0.4580384226491406,0.2845808535107768,-0.4990829679362467,0
4.323,0.4671385237613751,0.1373932723312397,-0.4704871511554593,0
4.375,0.4691607684529828,0.1149220083941054,-0.4407553608785604,0
4.427,0.4378159757330637,0.1302363188649805,-0.4100451315105551,0
4.478,0.1274014155712841,0.1051841634311461,-0.3785232897877022,0
4.528,0.0,0.0951868615777248,-0.3463578780985126,0
4.58,0.0,0.1095479352087261,-0.3137096983751464,0
4.63,0.0,0.1512697330891053,-0.2807504221991528,0
4.681,0.3963599595551061,0.1722140366263926,-0.2476759826491215,0
4.731,0.6582406471183013,0.1953545660547198,-0.2146824587317175,0
4.782,0.5955510616784632,0.2303716504879635,-0.1819735919226572,0
4.833,0.4994944388270981,0.2835088028191113,-0.149751639763531,0
4.883,0.480283114256825,0.315071677169062,-0.1182329690817798,0
4.934,0.5035389282103134,0.3047447965134423,-0.0876565120992975,0
4.986,0.5176946410515673,0.3446517336784832,-0.0581553184539009,0
5.037,0.5176946410515673,0.4108236862220613,-0.0298698015101368,0
5.088,0.5136501516683519,0.4321893931300953,-0.0030813266461477,0
